sankala,197.6329072039246
piper,196.91329515383364
nitawa,180.45755343580868
emilyzhao,177.96005839476834
Valetta6789,176.80661031551207
ADrone,176.27864957525296
dmigor3,175.3792300148659
willwin4sure,173.7708823145736
qwertyelmer,168.44342680005258
anser,167.4509242705002
avanderwalde,167.3312401077324
pianoblook,167.01834812998467
MarkusKahlsen,166.77295501617263
Amy2,166.76808846032813
kimbifille,165.6227355033854
rkass,162.65376599846832
Pablo-,162.3477905929669
wump,162.0905374011943
asaelr,159.33293843362165
IAMJEFF,158.66980145130998
MasN,157.96909520762117
hakha3,157.1339950426327
derekcheah,155.304979807329
Fireheart,155.27581922168395
Instantiation,154.05800669140928
Floriman,153.55132494805733
florrat2,153.31620362588487
Zakisan,152.87783806332507
micerang,152.6514129695756
MathNoob,151.90768549003093
Libster,151.75533208397295
Nitrate2,150.82152326462057
NoMercy,150.6745166426935
frosty104,145.8401604037735
Lel0uch,145.2113570353172
fishcat,144.97727120750636
timotree,144.90933347867573
qqqq,143.07298300531426
aquarelle,142.78790069289246
Syrah,142.21344596447932
melwen,142.18654914995386
jack67889,141.98415189429713
StKildaFan,141.28115689996753
TheDaniMan,140.39431853416016
Razvogor,140.30100898360536
Nitrate,140.1255939110923
Fey,139.36294202888774
Sucubis,138.7142537492162
rz,137.21129509145007
sjdrodge,136.53709250118106
Smandon,135.9777245464056
dobi,134.67907778341026
kopen,134.2539471501065
Dr_Kakashi,133.68220262170775
dj.narayanan,132.9637319518529
ChristopheAF,131.5269571032246
boba,131.3192297257048
bjnh,130.75583727762637
orucsoraihc,130.2667542997565
Wittvector,129.87572961457704
Lanvin,127.88041719182199
MangoPie,127.19425262137295
Cynas,126.860154209425
wortel,126.55943651537216
squirrel1988,125.05568120673122
wolfpack,124.15345703976712
Div,123.15642831726021
rachyrules,122.69742637635743
scharkbite,122.6324124507274
vEnhance,122.23718487225077
Jake_Stiles,121.61785555553335
colton,120.74318839431821
katian,120.72455662560563
Kyle,120.28112138411153
Livia,120.06075655522528
sephiroth,119.07081089454974
TimeHoodie,118.74188579564365
antitelharsic,118.70125595455525
HelanaAshryvr,118.60279740109627
invarse,118.38993050612183
eliclax,118.3852280943487
swineherd,118.11734770787574
Durandal,117.37204965320842
VerySloppyTwo,117.26948742276193
indego,116.96393800357788
IsabeltheCat,116.11394019269252
BlueNovember,115.39886867697476
Animex52,112.4376304364708
Zamiel,112.3570708671683
Damian000,109.19039493904907
Bonja97,108.51656117680105
RaKXeR,108.47916669132522
DarthGandalf,105.86379886425041
Daryl,105.52924745088161
Asddsa76,104.81558427277241
sin_faith,104.27570697943294
Denchulitas,103.66637161087431
corys,103.48175534853179
Bot-Fiora,102.96968897353256
possum,102.3298417769803
duckmammal,100.23330836149677
will.i.am,100.05258814445419
rs1,100.01437589666149
jeff10,98.0459841911495
padi,96.58960593531818
ksfortson,95.9128732577728
nkkarpov,95.7751173835392
skyblueexo,95.67953247368602
newduke,92.2347901647238
Spieler42,92.03977901917459
Pimak,91.15900973033882
catula,90.85824177098068
Kernel,90.53543282178238
Anax,90.12152576405182
Aluap,86.01043981478438
duckless,83.72631669809691
methmatics,78.44644767783254
FerKeth,75.1021538052744
CaitlinSmith,73.96523580261757
duckington,67.88709061790429
duckmedic,67.04104911022839
HariKrishnan,57.633288490759895
