Player,Score
Lanvin,387969.6023561186
Lel0uch,250683.85568147173
kimbifille,239843.6645199038
melwen,229717.30670739023
Valetta6789,224717.8470464575
IAMJEFF,200732.90480852043
Fireheart,182270.3197686898
indego,173268.91344253652
pianoblook,171107.45809578957
Dr_Kakashi,160882.95008277977
Kyle,158458.30511120497
MarkusKahlsen,156230.73930642637
TheDaniMan,151045.6964706077
Pablo-,146214.59444085718
HelanaAshryvr,143709.77596114078
asaelr,142327.1115219784
wump,139583.36695007535
scharkbite,138743.81429402807
piper,130094.01548869934
derekcheah,123210.50047486449
Floriman,122237.15913583261
TimeHoodie,119307.70477830475
dobi,119015.8712975768
Zamiel,113358.71808110988
Wittvector,112333.77215720697
VerySloppyTwo,104721.43764631248
nitawa,104071.82178178143
rz,98990.70344870593
Amy2,98886.1922177331
micerang,98513.4924766082
sephiroth,97231.91596928459
Fey,96976.67348430975
jack67889,96309.29182116486
ChristopheAF,92789.51896924904
jh,92409.34910015724
ADrone,91478.35999918375
Sh,90603.8414315471
Nitrate2,89592.72880718597
newduke,89393.24337068314
MangoPie,87348.17308028568
Livia,82704.72428053735
Durandal,80145.24258424323
bjnh,79171.63198370322
timotree,77364.40459756948
Sucubis,77042.86792378688
frosty104,74254.95026144592
squirrel1988,73329.83285392469
sin_faith,68133.90922570303
avanderwalde,64109.660327634505
eliclax,60518.90987260493
jeff10,58264.00834185029
hakha3,57096.50187145547
Libster,56847.334009917
aquarelle,56270.46400976415
sjdrodge,55133.87836871439
IsabeltheCat,55131.00364380294
Jake_Stiles,54502.234306785795
qqqq,54304.434610769524
anser,53734.38417644558
boba,49884.90693783267
StKildaFan,49884.42979666761
kopen,47780.487558555214
will.i.am,46962.58678408471
antitelharsic,46105.35344074196
Nitrate,45766.015813614686
florrat2,45371.102184249714
rkass,43327.15666710647
swineherd,42140.95612052293
rachyrules,41939.692116106366
possum,41878.227574422264
orucsoraihc,41355.19575864499
dj.narayanan,41236.88565691132
catula,41132.44396908109
Syrah,40446.60218074282
Bonja97,39112.83662597794
willwin4sure,38201.20653609477
emilyzhao,38148.78548277314
Zakisan,37663.29102602552
NoMercy,35283.02781970636
colton,34930.494539837695
Bot-Fiora,34888.39912884672
invarse,34095.99357398253
Aluap,33728.620953733924
katian,32735.692255198817
padi,32388.36979694091
BlueNovember,31942.06745188328
corys,29682.376848646083
DarthGandalf,28594.40265501093
nkkarpov,27676.459970528205
wolfpack,26739.420117114656
wortel,25334.635116017776
vEnhance,24978.380716918473
Animex52,24931.11360380794
ksfortson,24756.751428178537
RaKXeR,24660.127849174467
Div,21635.629099488327
Razvogor,20982.676683992548
Spieler42,18936.078904340662
lh,18297.18957542587
Denchulitas,18234.636489768873
fishcat,17688.571050377104
Asddsa76,16996.817616383843
duckmammal,16303.54028339682
Pimak,16270.022086671503
Kernel,15788.4447797245
methmatics,15353.327447998761
Smandon,13940.879428047327
skyblueexo,12865.274791804171
MasN,12061.066755108644
MathNoob,11594.646796257188
CaitlinSmith,11341.898908854204
sankala,10052.750948604413
duckless,9595.810859734762
Instantiation,9570.441664209891
FerKeth,9431.503687014243
rs1,8986.823792900666
dmigor3,8669.392402977208
Daryl,8060.207020091223
duckmedic,6803.7006123251585
qwertyelmer,6304.43652465042
Damian000,5733.698752658351
Cynas,5368.398667341389
duckington,3210.341994981339
HariKrishnan,2453.6892787284146
Anax,2067.361200282851
