Player,Score
melwen,174376.32631124964
Lanvin,145883.9703676856
Lel0uch,134268.382707746
kimbifille,125248.63958866891
Kyle,111987.49651717095
TimeHoodie,109338.3925547557
scharkbite,108542.90745655316
Floriman,106554.42199322807
pianoblook,103669.25594878965
asaelr,101662.54482877738
IAMJEFF,97082.87446187373
Valetta6789,94366.21538308698
Dr_Kakashi,94222.85977632523
MarkusKahlsen,92548.81849566632
sephiroth,89232.52561883249
derekcheah,88250.19965982896
TheDaniMan,88039.77382640347
Zamiel,86064.20103469177
Fireheart,84204.08710505435
piper,83806.68411144576
indego,83300.14374993998
Wittvector,83140.6684280756
Pablo-,78813.76479220761
micerang,77719.17381784714
rz,72605.43979334737
MangoPie,72287.19147868708
dobi,71956.18188339651
ChristopheAF,71776.94576410204
jack67889,70706.30747785993
HelanaAshryvr,65440.69841979147
Fey,64961.60068537142
wump,63578.92125783956
Sucubis,60002.99149686965
Nitrate2,59418.2781349047
bjnh,58816.45175153124
newduke,53831.63683149637
sin_faith,52093.59781026266
avanderwalde,47705.0316512138
Livia,47226.324298707215
hakha3,45525.09799837818
timotree,44681.03691016428
ADrone,43673.04329000076
VerySloppyTwo,43289.86336901535
Libster,42076.84401198715
will.i.am,41984.88550031919
swineherd,41762.35142755849
sjdrodge,41252.99446266591
jeff10,38585.45559979689
Bonja97,38419.22246777126
qqqq,38329.86004308903
Zakisan,37581.49037629261
squirrel1988,37095.873398167205
kopen,37092.60046112427
florrat2,33619.35445278676
NoMercy,33336.99252362325
orucsoraihc,33145.92244244662
rkass,33005.585862014166
antitelharsic,32482.816925981348
nitawa,31883.056265013456
rachyrules,31568.104705101854
Jake_Stiles,31235.159215614418
Amy2,30762.340282786026
Syrah,29957.664203928387
aquarelle,29463.865351802455
Nitrate,27688.98941442865
padi,26723.282157139234
StKildaFan,26180.66031929729
katian,26125.991336401017
IsabeltheCat,25707.62837322182
wortel,24219.785748198843
colton,23461.90397648725
anser,22403.130544697076
ksfortson,22327.57516799558
catula,21905.805468554754
nkkarpov,21885.64520711597
possum,21472.886641849596
Animex52,20972.704841988838
emilyzhao,20578.498924559124
Razvogor,20282.513881663657
RaKXeR,19311.465512778705
Bot-Fiora,19234.59307947519
dj.narayanan,18767.256647398546
Div,18511.661496486875
vEnhance,18127.183853734532
boba,17327.165575037736
Asddsa76,17008.109396092055
corys,16966.464840463083
Denchulitas,16588.19508903941
Aluap,16461.15510279571
eliclax,16133.202297682501
willwin4sure,16019.680156309734
Spieler42,15352.97829731394
invarse,14983.117210231965
BlueNovember,14239.259210760494
wolfpack,14140.046180737414
Pimak,13971.25307173858
duckmammal,13886.404054428733
DarthGandalf,13408.593076851917
fishcat,13279.499163803808
methmatics,12880.727999406023
Smandon,11753.182197015038
Kernel,11665.948974599463
MasN,11301.231020344132
CaitlinSmith,10496.843184912756
sankala,9721.668081486729
skyblueexo,9363.461989350571
Instantiation,9272.319585870675
duckless,8571.561900283192
MathNoob,8276.351926367559
rs1,8215.311940888976
FerKeth,7590.764992874602
Daryl,7558.420304749515
dmigor3,6445.366017397374
duckmedic,5924.86374579786
Damian000,5372.169899756794
Cynas,5155.589545176389
qwertyelmer,3990.231570915706
duckington,3216.9774369022007
Durandal,2218.03032764967
HariKrishnan,2127.815707367365
Anax,1671.3869153217602
