586767,6,30,Rainbow & Prism (6 Suits),Dr_Kakashi,griff77,kimbifille,Lanvin,possum,wortel
586761,3,25,Rainbow-Ones & White (5 Suits),Lanvin,possum,wortel
586752,3,0,Rainbow-Ones & White (5 Suits),Lanvin,possum,wortel
586216,3,25,Dark Prism (5 Suits),BlueNovember,Nitrate,wortel
586201,3,0,Dark Prism (5 Suits),BlueNovember,Nitrate,wortel
586183,5,29,6 Suits,7216,BlueNovember,gwenhwyfarrr,Nitrate,wortel
586172,4,30,6 Suits,7216,BlueNovember,gwenhwyfarrr,wortel
496401,4,23,Rainbow & White (5 Suits),Hanpeters,JCH2014,meikewortel,wortel
496369,4,22,Rainbow & White (5 Suits),Hanpeters,JCH2014,meikewortel,wortel
496335,3,20,White (4 Suits),Hanpeters,meikewortel,wortel
495807,4,20,Pink & Prism (4 Suits),bob65536,Bot-Fiora,griff77,wortel
495789,4,20,White & Brown (4 Suits),bob65536,Bot-Fiora,griff77,wortel
483649,3,25,Dual-Color (5 Suits),Hanpeters,meikewortel,wortel
483619,3,20,4 Suits,Hanpeters,meikewortel,wortel
483225,4,30,Up or Down (6 Suits),corys,dobi,wortel,xor
483208,5,0,Up or Down & Prism (6 Suits),corys,dobi,Lel0uch,wortel,xor
482131,4,30,Null-Ones (6 Suits),Bot-Fiora,griff77,ksfortson,wortel
482112,5,0,Null-Ones (6 Suits),Bot-Fiora,griff77,ksfortson,louietyj,wortel
475884,5,24,No Variant,possum,rz,Spieler42,timotree,wortel
475640,5,0,Dual-Color (5 Suits),IsabeltheCat,nwajfromoz,possum,qqqq,wortel
475633,5,0,Dual-Color (5 Suits),IsabeltheCat,nwajfromoz,possum,qqqq,wortel
474657,5,23,No Variant,kevincaseytdk1,possum,RaeF,Wittvector,wortel
466945,3,19,4 Suits,meikewortel,Tineke,wortel
466917,4,25,No Variant,meikewortel,Palomar11,Tineke,wortel
466888,3,24,Dual-Color (5 Suits),meikewortel,Palomar11,wortel
466536,5,30,Pink (6 Suits),Bot-Fiora,corys,ksfortson,possum,wortel
466506,5,29,Pink (6 Suits),Bot-Fiora,corys,ksfortson,possum,wortel
459939,3,25,Dual-Color (5 Suits),corys,wortel,xor
459920,4,25,Pink-Ones (5 Suits),corys,lolthisnotderk,wortel,xor
458860,6,25,Brown (5 Suits),ChristopheAF,eliclax,hakha3,Lel0uch,sin_faith,wortel
458842,6,0,Brown (5 Suits),ChristopheAF,eliclax,hakha3,Lel0uch,sin_faith,wortel
458831,3,24,Black (5 Suits),eliclax,sin_faith,wortel
458750,3,0,Dual-Color (5 Suits),DarthGandalf,possum,wortel
458739,5,30,Brown (6 Suits),DarthGandalf,louietyj,possum,qqqq,wortel
455237,4,0,Rainbow & Prism (5 Suits),eliclax,Fey,lotem,wortel
455133,4,25,Black & White (6 Suits),kevincaseytdk1,ksfortson,possum,wortel
452068,5,0,Black Reversed (6 Suits),Bot-Fiora,Fey,MangoPie,MarkusKahlsen,wortel
451822,3,25,Prism (5 Suits),corys,wortel,xor
451809,4,30,Prism (6 Suits),colton,corys,wortel,xor
451783,6,30,Rainbow & Brown (6 Suits),Bot-Fiora,colton,griff77,ksfortson,possum,wortel
451756,6,0,Rainbow & Brown (6 Suits),Bot-Fiora,colton,griff77,ksfortson,possum,wortel
451104,4,24,No Variant,Hanpeters,meikewortel,WillemW,wortel
451049,4,22,No Variant,Hanpeters,meikewortel,WillemW,wortel
449724,4,0,Muddy Rainbow & Light Pink (6 Suits),derekcheah,indego,Lel0uch,wortel
446658,4,28,Gray (6 Suits),eljavi,orucsoraihc,possum,wortel
446636,4,27,Gray (6 Suits),eljavi,orucsoraihc,possum,wortel
446621,4,0,Gray (6 Suits),eljavi,orucsoraihc,possum,wortel
446525,4,18,Dual-Color & Rainbow (4 Suits),BraydonM,newduke,qqqq,wortel
446514,4,0,Dual-Color & Rainbow (4 Suits),BraydonM,newduke,qqqq,wortel
445372,4,30,Pink (6 Suits),ksfortson,MarcLovesDogs,torp,wortel
445332,4,25,Brown (5 Suits),ksfortson,MarcLovesDogs,torp,wortel
444284,2,23,No Variant,lodizodi,wortel
444281,2,0,No Variant,lodizodi,wortel
444279,2,23,No Variant,lodizodi,wortel
443176,5,0,Up or Down & Brown (6 Suits),MangoPie,melwen,sephiroth,VerySloppyTwo,wortel
443168,5,0,Up or Down & Brown (6 Suits),MangoPie,melwen,sephiroth,VerySloppyTwo,wortel
442288,3,24,No Variant,JCH2014,meikewortel,wortel
442229,3,25,No Variant,JCH2014,meikewortel,wortel
442183,3,0,No Variant,JCH2014,meikewortel,wortel
442163,3,24,No Variant,JCH2014,meikewortel,wortel
441846,4,0,Dual-Color & Brown (6 Suits),Fey,indego,robense,wortel
441838,4,0,Dual-Color & Brown (6 Suits),Fey,indego,robense,wortel
438281,5,25,Muddy-Rainbow-Fives (5 Suits),frosty104,indego,sephiroth,VerySloppyTwo,wortel
436947,4,20,Rainbow & White (4 Suits),frosty104,rz,sephiroth,wortel
436942,4,0,Rainbow & White (4 Suits),frosty104,rz,sephiroth,wortel
436940,4,0,Rainbow & White (4 Suits),frosty104,rz,sephiroth,wortel
436933,4,21,Omni & Dark Prism (5 Suits),frosty104,rz,sephiroth,wortel
436915,4,0,Omni & Dark Prism (6 Suits),frosty104,indego,sephiroth,wortel
435790,5,25,White & Brown (5 Suits),dobi,eliclax,indego,MangoPie,wortel
435652,4,0,Pink & Gray Pink (6 Suits),Dr_Kakashi,Floriman,indego,wortel
435632,4,0,Pink & Gray Pink (6 Suits),Dr_Kakashi,Floriman,indego,wortel
435619,4,0,Pink & Gray Pink (6 Suits),Dr_Kakashi,Floriman,indego,wortel
435608,4,0,Pink & Gray Pink (6 Suits),Dr_Kakashi,Floriman,indego,wortel
435602,4,0,Pink & Gray Pink (6 Suits),Dr_Kakashi,Floriman,indego,wortel
435550,4,0,Light Pink & Dark Prism (6 Suits),duckless,frosty104,indego,wortel
435540,4,0,Light Pink & Dark Prism (6 Suits),duckless,frosty104,indego,wortel
435517,5,0,Brown-Fives & Rainbow (5 Suits),catula,duckless,frosty104,indego,wortel
435496,5,0,Brown-Fives & Rainbow (5 Suits),catula,duckless,frosty104,indego,wortel
435481,5,0,Brown-Fives & Rainbow (5 Suits),catula,duckless,frosty104,indego,wortel
435455,4,0,Omni & Cocoa Rainbow (6 Suits),duckless,frosty104,indego,wortel
434559,4,29,Cocoa Rainbow (6 Suits),MangoPie,Onen,rz,wortel
434550,4,0,Cocoa Rainbow (6 Suits),MangoPie,Onen,rz,wortel
434543,4,0,Cocoa Rainbow (6 Suits),MangoPie,Onen,rz,wortel
434529,4,28,Cocoa Rainbow (6 Suits),MangoPie,Onen,rz,wortel
432293,5,0,Gray Pink (6 Suits),Asddsa76,frosty104,indego,Lanvin,wortel
432277,5,0,Gray Pink (6 Suits),Asddsa76,frosty104,indego,Lanvin,wortel
432267,5,0,Pink & Dark Omni (5 Suits),Asddsa76,frosty104,indego,Lanvin,wortel
432253,5,0,Pink & Dark Omni (5 Suits),Asddsa76,frosty104,indego,Lanvin,wortel
432026,3,0,Dual-Color & Black (6 Suits),IsabeltheCat,Spieler42,wortel
432017,3,0,Dual-Color & Black (6 Suits),IsabeltheCat,Spieler42,wortel
432011,3,0,Dual-Color & Black (6 Suits),IsabeltheCat,Spieler42,wortel
432006,5,30,Black (6 Suits),IsabeltheCat,lolthisnotderk,louietyj,qqqq,wortel
