573198,2,22,Special Mix (6 Suits),newduke,scharkbite
573186,2,0,Special Mix (6 Suits),newduke,scharkbite
573172,2,23,Special Mix (6 Suits),newduke,scharkbite
573159,2,0,Special Mix (6 Suits),newduke,scharkbite
573151,2,0,Special Mix (6 Suits),newduke,scharkbite
573140,2,30,Pink (6 Suits),newduke,scharkbite
573134,2,27,Pink (6 Suits),newduke,scharkbite
573128,3,0,Deceptive-Ones & Omni (5 Suits),HelanaAshryvr,newduke,scharkbite
573111,3,0,Deceptive-Ones & Omni (5 Suits),HelanaAshryvr,newduke,scharkbite
573105,3,0,Deceptive-Ones & Omni (5 Suits),HelanaAshryvr,newduke,scharkbite
573093,3,24,Deceptive-Ones & Omni (5 Suits),HelanaAshryvr,newduke,scharkbite
573022,3,25,Omni & Prism (5 Suits),Doge,Fafrd,newduke
573012,2,0,Gray Pink (6 Suits),Doge,newduke
573002,2,0,Gray Pink (6 Suits),Doge,newduke
572984,2,0,Gray Pink (6 Suits),newduke,timotree
572970,2,0,Gray Pink (6 Suits),newduke,timotree
572964,2,0,Gray Pink (6 Suits),newduke,timotree
572951,2,0,Gray Pink (6 Suits),newduke,timotree
572949,2,0,Gray Pink (6 Suits),newduke,timotree
572677,4,0,Cocoa Rainbow (6 Suits),Bot-Fiora,griff77,just_a_dick,newduke
572666,4,0,Cocoa Rainbow (6 Suits),Bot-Fiora,griff77,MalachiteMoa,newduke
572641,4,0,Special Mix (6 Suits),Bot-Fiora,griff77,HelanaAshryvr,newduke
572617,6,0,Brown (6 Suits),Bot-Fiora,griff77,HelanaAshryvr,newduke,newsun,ydarb98
572602,6,0,Prism Reversed (5 Suits),Bot-Fiora,griff77,Kyle,Lanvin,newduke,newsun
572575,5,27,Omni & Cocoa Rainbow (6 Suits),Bot-Fiora,DarthGandalf,mystus,newduke,newsun
572535,4,28,Black & Brown (6 Suits),Bot-Fiora,DarthGandalf,griff77,newduke
572511,4,0,Black & Brown (6 Suits),Bot-Fiora,DarthGandalf,griff77,newduke
571784,3,24,Rainbow & Prism (5 Suits),just_a_dick,newduke,rahsosprout
571766,3,0,Rainbow & Prism (5 Suits),just_a_dick,newduke,rahsosprout
571745,3,30,Light Pink (6 Suits),just_a_dick,newduke,rahsosprout
571650,3,27,Cocoa Rainbow (6 Suits),Bot-Fiora,griff77,newduke
571622,3,0,Cocoa Rainbow (6 Suits),Bot-Fiora,griff77,newduke
571597,4,20,Pink-Ones & Prism (4 Suits),Bot-Fiora,eliclax,griff77,newduke
571580,4,0,Pink-Ones & Prism (4 Suits),Bot-Fiora,eliclax,griff77,newduke
571567,4,0,Ambiguous & Omni (5 Suits),Bot-Fiora,griff77,newduke,Nitrate
571541,3,28,Dark Prism (6 Suits),mystus,newduke,RaKXeR
571532,3,0,Dark Prism (6 Suits),jack67889,mystus,newduke
571523,3,0,Dark Prism (6 Suits),jack67889,mystus,newduke
571297,5,23,Black (5 Suits),dobi,jeff10,newduke,newsun,Wittvector
571224,5,0,Ambiguous Mix,ChristopheAF,Lanvin,newduke,VerySloppyTwo,Wittvector
571196,6,25,Special Mix (5 Suits),asaelr,ChristopheAF,Lanvin,newduke,RaKXeR,Wittvector
571184,3,0,Cocoa Rainbow (6 Suits),ChristopheAF,jeff10,newduke
571175,4,0,Black & Brown (6 Suits),ChristopheAF,Durandal,jeff10,newduke
571172,4,0,Black & Brown (6 Suits),ChristopheAF,Durandal,jeff10,newduke
571106,4,0,Dual-Color & Brown (6 Suits),ChristopheAF,Lanvin,newduke,rz
571059,5,0,Rainbow & Muddy Rainbow (5 Suits),ChristopheAF,Lanvin,newduke,rz,wump
570835,3,20,Pink & Omni (4 Suits),indego,newduke,pianoblook
570825,3,0,Pink & Omni (4 Suits),indego,newduke,pianoblook
570810,3,0,Pink & Omni (4 Suits),indego,newduke,pianoblook
570440,3,24,Rainbow & Omni (5 Suits),mystus,newduke,Wittvector
570424,3,0,Rainbow & Omni (5 Suits),mystus,newduke,Wittvector
570396,3,0,Rainbow & Omni (5 Suits),mystus,newduke,Wittvector
570375,2,0,Pink (6 Suits),dobi,newduke
570368,2,0,Pink (6 Suits),dobi,newduke
570107,2,0,Rainbow & Pink (4 Suits),macanek,newduke
570106,2,19,Rainbow & Pink (4 Suits),macanek,newduke
570104,2,0,Rainbow & Pink (4 Suits),macanek,newduke
570101,2,19,Rainbow & Pink (4 Suits),macanek,newduke
570096,2,18,Rainbow & Pink (4 Suits),macanek,newduke
570082,2,28,6 Suits,Bot-Fiora,newduke
570069,2,25,6 Suits,Bot-Fiora,newduke
569248,3,30,Up or Down & Muddy Rainbow (6 Suits),asaelr,eliclax,newduke
569098,4,23,Black & Rainbow (5 Suits),HelanaAshryvr,jack67889,newduke,Nitrate
569082,4,22,Black & Rainbow (5 Suits),HelanaAshryvr,jack67889,newduke,Nitrate
569063,3,14,Rainbow & White (3 Suits),jack67889,newduke,Nitrate
569041,3,29,Up or Down & Muddy Rainbow (6 Suits),HelanaAshryvr,newduke,Nitrate
569017,2,0,Up or Down & Muddy Rainbow (6 Suits),HelanaAshryvr,newduke
568975,3,23,Up or Down & Muddy Rainbow (5 Suits),Kyle,newduke,newsun
568964,3,0,Up or Down & Muddy Rainbow (5 Suits),Kyle,newduke,newsun
568961,3,0,Up or Down & Muddy Rainbow (5 Suits),Kyle,newduke,newsun
568954,3,24,Up or Down (5 Suits),Kyle,newduke,newsun
568733,3,26,Up or Down & Muddy Rainbow (6 Suits),bjnh,newduke,xor
568731,3,0,Up or Down & Muddy Rainbow (6 Suits),bjnh,newduke,xor
568727,2,25,Prism (5 Suits),dobi,newduke
568589,5,23,Ambiguous & Brown (5 Suits),Bot-Fiora,griff77,IsabeltheCat,jeff10,newduke
568579,5,24,Ambiguous & Brown (5 Suits),Fafrd,griff77,IsabeltheCat,kevincaseytdk1,newduke
568566,4,0,White-Fives & Muddy Rainbow (3 Suits),Fafrd,griff77,IsabeltheCat,newduke
568553,4,0,White & Dark Prism (5 Suits),griff77,IsabeltheCat,newduke,Wittvector
568518,3,0,Black & Null (6 Suits),IsabeltheCat,newduke,Wittvector
568419,3,24,Clue Starved & Brown (5 Suits),Doge,newduke,Onen
568381,3,0,Black & White (6 Suits),Doge,newduke,Onen
568360,3,0,Black & White (6 Suits),Doge,newduke,Onen
568350,3,0,Black & White (6 Suits),Doge,newduke,Onen
568325,3,28,Black & White (6 Suits),Doge,newduke,Onen
568310,3,0,Black & White (6 Suits),Doge,newduke,Onen
568304,3,0,Black & White (6 Suits),Doge,newduke,Onen
568061,3,0,Muddy Rainbow (5 Suits),bjnh,newduke,sin_faith
568057,3,0,Muddy Rainbow (5 Suits),bjnh,newduke,sin_faith
568056,3,0,Muddy Rainbow (5 Suits),bjnh,newduke,sin_faith
568053,3,0,Muddy Rainbow (5 Suits),bjnh,newduke,sin_faith
568050,3,0,Muddy Rainbow (5 Suits),bjnh,newduke,sin_faith
568045,3,0,Muddy Rainbow (5 Suits),bjnh,newduke,sin_faith
568035,3,25,No Variant,bjnh,newduke,sin_faith
567864,5,27,White (6 Suits),BlueNovember,gwenhwyfarrr,just_a_dick,newduke,Nitrate
