338431,3,0,Prism (6 Suits),Libster,NoMercy,RaKXeR
337693,3,0,Prism (6 Suits),Libster,NoMercy,RaKXeR
337645,3,27,Prism (6 Suits),Libster,NoMercy,RaKXeR
337627,3,0,Prism (6 Suits),Libster,NoMercy,RaKXeR
337613,3,0,Prism (6 Suits),Libster,NoMercy,RaKXeR
337602,3,30,Prism (6 Suits),Libster,NoMercy,RaKXeR
335905,3,0,Prism (6 Suits),Libster,NoMercy,RaKXeR
335867,3,30,Prism (6 Suits),Libster,NoMercy,RaKXeR
335834,3,0,Prism (6 Suits),Libster,NoMercy,RaKXeR
333211,3,0,Prism (6 Suits),Libster,NoMercy,RaKXeR
333199,3,0,Prism (6 Suits),Libster,NoMercy,RaKXeR
333176,3,30,Prism (6 Suits),Libster,NoMercy,RaKXeR
333154,3,28,Prism (6 Suits),Libster,NoMercy,RaKXeR
331955,3,30,Rainbow (6 Suits),DrSeil,NoMercy,oblique
331946,4,0,Rainbow (6 Suits),DrSeil,MarcLovesDogs,NoMercy,oblique
331934,4,0,Rainbow (6 Suits),DrSeil,MarcLovesDogs,NoMercy,oblique
331925,3,0,Rainbow (6 Suits),DrSeil,NoMercy,oblique
331890,3,0,Rainbow (6 Suits),DrSeil,NoMercy,oblique
331857,3,0,Rainbow (6 Suits),DrSeil,NoMercy,oblique
331756,4,25,Rainbow (6 Suits),Alkaven5,DrSeil,NoMercy,oblique
331701,3,0,Rainbow (6 Suits),Alkaven5,DrSeil,NoMercy
331680,3,0,Rainbow (6 Suits),Alkaven5,DrSeil,NoMercy
327876,4,28,Rainbow (6 Suits),DrSeil,NoMercy,oblique,redclay1263
327847,4,0,Rainbow (6 Suits),DrSeil,NoMercy,oblique,redclay1263
327834,4,0,Rainbow (6 Suits),DrSeil,NoMercy,oblique,redclay1263
308126,4,28,Rainbow (6 Suits),florrat2,Libster,NoMercy,sjdrodge
308052,4,0,Rainbow (6 Suits),florrat2,Libster,NoMercy,sjdrodge
307943,4,30,Rainbow (6 Suits),florrat2,Libster,NoMercy,sjdrodge
307414,4,26,Rainbow (6 Suits),florrat2,Libster,NoMercy,sjdrodge
307259,4,0,Rainbow (6 Suits),florrat2,Libster,NoMercy,sjdrodge
307192,4,0,Rainbow (6 Suits),florrat2,Libster,NoMercy,sjdrodge
307171,4,0,Rainbow (6 Suits),florrat2,Libster,NoMercy,sjdrodge
305033,4,0,Rainbow (6 Suits),florrat2,Libster,NoMercy,sjdrodge
305028,4,0,Rainbow (6 Suits),florrat2,Libster,NoMercy,sjdrodge
305010,4,0,Rainbow (6 Suits),florrat2,Libster,NoMercy,sjdrodge
304994,4,0,Rainbow (6 Suits),florrat2,Libster,NoMercy,sjdrodge
304980,4,0,Rainbow (6 Suits),florrat2,Libster,NoMercy,sjdrodge
303729,4,30,Rainbow (6 Suits),florrat2,Libster,NoMercy,sjdrodge
303666,4,30,Rainbow (6 Suits),florrat2,Libster,NoMercy,sjdrodge
300520,4,0,Rainbow (6 Suits),florrat2,Libster,NoMercy,sjdrodge
300482,4,0,Rainbow (6 Suits),florrat2,Libster,NoMercy,sjdrodge
300466,4,28,Rainbow (6 Suits),florrat2,Libster,NoMercy,sjdrodge
300435,4,0,Rainbow (6 Suits),florrat2,Libster,NoMercy,sjdrodge
300424,4,0,Rainbow (6 Suits),florrat2,Libster,NoMercy,sjdrodge
300410,4,0,Rainbow (6 Suits),florrat2,Libster,NoMercy,sjdrodge
300384,4,0,Rainbow (6 Suits),florrat2,Libster,NoMercy,sjdrodge
