478916,5,30,Rainbow (6 Suits),cockdestroyer,duckmedic,methmatics,possum,wump
418471,3,30,Light Pink (6 Suits),duckmedic,ksfortson,wump
415942,4,22,Rainbow & Brown (5 Suits),4head,caña,duckmedic,wump
411262,3,0,Prism (6 Suits),duckmedic,ksfortson,rahsosprout
400894,4,0,Deceptive-Ones (5 Suits),duckmedic,ksfortson,MarcLovesDogs,wump
400881,4,25,Deceptive-Ones (5 Suits),duckmedic,ksfortson,MarcLovesDogs,wump
400857,4,0,Deceptive-Ones (5 Suits),duckmedic,ksfortson,MarcLovesDogs,wump
400817,5,25,Brown (5 Suits),duckmedic,ksfortson,MarcLovesDogs,wump,XMIL
391216,4,30,Brown (6 Suits),duckmedic,JackFrost,ksfortson,wump
391153,4,0,Brown (6 Suits),duckmedic,JackFrost,ksfortson,wump
391106,5,23,Light Pink (5 Suits),duckmedic,indego,ksfortson,rz,wump
379729,5,0,Dark Rainbow (6 Suits),catula,cockdestroyer,duckmedic,wump,XMIL
374090,5,23,Up or Down (5 Suits),cockdestroyer,duckmedic,ksfortson,nitawa,rz
374045,3,22,Up or Down (5 Suits),cockdestroyer,duckmedic,nitawa
372385,6,0,Brown & Prism (6 Suits),duckmedic,Feich59,frosty104,ksfortson,rz,wump
372365,6,0,Brown & Prism (6 Suits),duckmedic,Feich59,frosty104,ksfortson,rz,wump
372338,4,30,White-Ones (6 Suits),duckmedic,ksfortson,rz,wump
370654,4,0,Rainbow (6 Suits),duckmedic,Jake_Stiles,rz,wump
370594,4,27,Rainbow (6 Suits),duckmedic,Jake_Stiles,rz,wump
370530,4,28,Rainbow (6 Suits),duckmedic,Jake_Stiles,rz,wump
370510,4,0,Rainbow (6 Suits),duckmedic,Jake_Stiles,rz,wump
370503,4,0,Rainbow (6 Suits),duckmedic,Jake_Stiles,rz,wump
370472,4,0,Rainbow (6 Suits),duckmedic,Jake_Stiles,rz,wump
369566,4,29,Rainbow (6 Suits),doctorabi,duckmedic,rz,wump
369513,4,0,Rainbow (6 Suits),doctorabi,duckmedic,rz,wump
369409,4,29,Rainbow (6 Suits),duckmedic,Jake_Stiles,rz,wump
369364,4,0,Rainbow (6 Suits),duckmedic,Jake_Stiles,rz,wump
368268,4,0,Rainbow (6 Suits),doctorabi,duckmedic,rz,wump
368241,4,0,Rainbow (6 Suits),doctorabi,duckmedic,rz,wump
368214,3,0,Rainbow (6 Suits),duckmedic,rz,wump
367670,4,23,Duck (5 Suits),Animex52,catula,duckmedic,nitawa
367657,3,0,Duck (5 Suits),Animex52,catula,duckmedic
367547,4,28,Rainbow (6 Suits),duckmedic,Jake_Stiles,rz,wump
367486,4,30,Rainbow (6 Suits),duckmedic,Jake_Stiles,rz,wump
367413,4,30,Rainbow (6 Suits),duckmedic,Jake_Stiles,rz,wump
367350,4,0,Rainbow (6 Suits),duckmedic,Jake_Stiles,rz,wump
367323,4,0,Rainbow (6 Suits),duckmedic,Jake_Stiles,rz,wump
366444,4,0,Rainbow (6 Suits),duckmedic,Jake_Stiles,rz,wump
366427,4,0,Rainbow (6 Suits),duckmedic,Jake_Stiles,rz,wump
366416,4,0,Rainbow (6 Suits),duckmedic,Jake_Stiles,rz,wump
366411,4,0,Rainbow (6 Suits),duckmedic,Jake_Stiles,rz,wump
