334970,3,0,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
334962,3,0,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
334946,3,30,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
334923,3,0,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
334911,3,0,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
334899,3,0,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
334887,3,0,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
334866,3,30,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
333450,3,30,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
333442,3,0,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
333440,3,0,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
333439,3,0,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
333436,3,0,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
333434,3,0,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
333431,3,0,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
333420,3,29,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
333411,3,0,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
333409,3,0,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
333406,3,0,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
333399,3,0,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
333395,3,0,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
333394,3,0,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
333388,3,0,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
333386,3,0,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
333379,3,0,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
333376,3,0,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
333363,3,0,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
333360,3,0,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
333338,3,30,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
333256,3,30,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
333207,3,0,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
333198,3,0,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
333190,3,0,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
332442,3,30,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
332386,3,0,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
332343,3,30,Prism (6 Suits),Darth_Calculus,kjin,qwertyelmer
328188,3,24,Duck (5 Suits),Darth_Calculus,menotyou,qwertyelmer
328133,3,25,Duck (5 Suits),Darth_Calculus,menotyou,qwertyelmer
327629,3,25,Duck (5 Suits),Darth_Calculus,menotyou,qwertyelmer
327495,3,23,Duck (5 Suits),Darth_Calculus,menotyou,qwertyelmer
326899,3,0,Duck (5 Suits),Darth_Calculus,menotyou,qwertyelmer
326872,3,0,Duck (5 Suits),Darth_Calculus,menotyou,qwertyelmer
