499211,3,0,Null (5 Suits),ADrone,Libster,sjdrodge
499190,3,25,Null (5 Suits),ADrone,Libster,sjdrodge
499156,3,25,Null (5 Suits),ADrone,Libster,sjdrodge
492995,3,20,4 Suits,CptAggro,efaust,sjdrodge
492992,3,0,4 Suits,CptAggro,efaust,sjdrodge
492991,3,0,4 Suits,CptAggro,efaust,sjdrodge
492981,3,0,4 Suits,CptAggro,efaust,sjdrodge
492974,3,0,4 Suits,CptAggro,efaust,sjdrodge
492969,3,19,4 Suits,CptAggro,efaust,sjdrodge
492965,3,0,4 Suits,CptAggro,efaust,sjdrodge
492964,3,0,4 Suits,CptAggro,efaust,sjdrodge
492961,3,20,4 Suits,CptAggro,efaust,sjdrodge
492959,3,20,4 Suits,CptAggro,efaust,sjdrodge
491772,3,0,Null-Fives & Null (6 Suits),kimbifille,pianoblook,sjdrodge
491731,3,0,Null-Fives & Null (6 Suits),kimbifille,pianoblook,sjdrodge
491723,3,0,Null-Fives & Null (6 Suits),kimbifille,pianoblook,sjdrodge
491705,3,23,Null (5 Suits),kimbifille,pianoblook,sjdrodge
491669,3,0,Null (5 Suits),kimbifille,pianoblook,sjdrodge
489363,3,20,4 Suits,CptAggro,efaust,sjdrodge
489350,3,0,4 Suits,CptAggro,efaust,sjdrodge
489345,3,20,4 Suits,CptAggro,efaust,sjdrodge
489333,3,20,4 Suits,CptAggro,efaust,sjdrodge
489285,3,20,4 Suits,CptAggro,efaust,sjdrodge
489282,3,20,4 Suits,CptAggro,efaust,sjdrodge
489279,3,0,4 Suits,CptAggro,efaust,sjdrodge
489275,3,0,4 Suits,CptAggro,efaust,sjdrodge
489270,3,20,4 Suits,CptAggro,efaust,sjdrodge
489268,3,0,4 Suits,CptAggro,efaust,sjdrodge
489267,3,0,4 Suits,CptAggro,efaust,sjdrodge
489265,3,0,4 Suits,CptAggro,efaust,sjdrodge
489261,3,0,4 Suits,CptAggro,efaust,sjdrodge
489257,3,20,4 Suits,CptAggro,efaust,sjdrodge
489252,3,20,4 Suits,CptAggro,efaust,sjdrodge
488176,3,20,Null (4 Suits),efaust,paulcd2000,sjdrodge
488172,3,0,Null (4 Suits),efaust,paulcd2000,sjdrodge
488167,3,20,Pink (4 Suits),efaust,paulcd2000,sjdrodge
487301,3,20,4 Suits,CptAggro,efaust,sjdrodge
487291,3,19,4 Suits,CptAggro,efaust,sjdrodge
487286,3,0,4 Suits,CptAggro,efaust,sjdrodge
487285,3,0,4 Suits,CptAggro,efaust,sjdrodge
487283,3,0,4 Suits,CptAggro,efaust,sjdrodge
487281,3,20,4 Suits,CptAggro,efaust,sjdrodge
487258,4,0,Pink (4 Suits),CptAggro,efaust,fuckthiswebsite,sjdrodge
486318,3,25,No Variant,CptPotato,efaust,sjdrodge
486307,3,25,No Variant,CptPotato,efaust,sjdrodge
485272,4,20,4 Suits,CptAggro,efaust,fuckthiswebsite,sjdrodge
485266,4,20,4 Suits,CptAggro,efaust,fuckthiswebsite,sjdrodge
485265,4,0,4 Suits,CptAggro,efaust,fuckthiswebsite,sjdrodge
485262,4,0,4 Suits,CptAggro,efaust,fuckthiswebsite,sjdrodge
485259,3,20,4 Suits,efaust,fuckthiswebsite,sjdrodge
485048,3,25,No Variant,pianoblook,piper,sjdrodge
484260,3,0,No Variant,CptAggro,efaust,sjdrodge
484255,3,0,No Variant,CptAggro,efaust,sjdrodge
484250,3,0,No Variant,CptAggro,efaust,sjdrodge
484246,3,0,No Variant,CptAggro,efaust,sjdrodge
484239,3,18,4 Suits,CptAggro,efaust,sjdrodge
484228,3,20,4 Suits,CptAggro,efaust,sjdrodge
483294,4,0,No Variant,CptAggro,efaust,kemurphy,sjdrodge
483287,4,0,No Variant,CptAggro,efaust,kemurphy,sjdrodge
483283,4,0,No Variant,CptAggro,efaust,kemurphy,sjdrodge
482161,3,20,4 Suits,bigbadjohn,CptAggro,sjdrodge
482141,3,20,4 Suits,bigbadjohn,CptAggro,sjdrodge
481082,3,19,4 Suits,efaust,kemurphy,sjdrodge
481074,3,20,4 Suits,efaust,kemurphy,sjdrodge
481069,3,20,4 Suits,efaust,kemurphy,sjdrodge
481062,3,20,4 Suits,efaust,kemurphy,sjdrodge
481056,4,25,Rainbow & White (5 Suits),CptAggro,indego,Lel0uch,sjdrodge
480682,4,25,No Variant,CptAggro,efaust,phtheven,sjdrodge
480000,4,25,No Variant,CptAggro,efaust,paulcd2000,sjdrodge
479998,4,25,No Variant,CptAggro,efaust,paulcd2000,sjdrodge
477321,4,0,Up or Down & Light Pink (6 Suits),kevincaseytdk1,Kyle,sjdrodge,Wittvector
475457,5,24,Black (5 Suits),derekcheah,kimbifille,melwen,pianoblook,sjdrodge
475401,5,0,Black (5 Suits),derekcheah,kimbifille,melwen,pianoblook,sjdrodge
475369,5,0,Black (5 Suits),derekcheah,kimbifille,paulcd2000,pianoblook,sjdrodge
475321,5,30,Rainbow & Brown (6 Suits),derekcheah,kimbifille,paulcd2000,pianoblook,sjdrodge
