3 Suits,2,1,1,1,1
6 Suits,2,1,1,9,1
6 Suits,4,22,1,1,1
6 Suits,5,3,1,2,1
6 Suits,6,3,1,3,1
Black & Rainbow (6 Suits),5,1,1,3,1
Black (5 Suits),2,3,1,6,1
Brown & Prism (6 Suits),5,4,1,4,1
Brown (5 Suits),4,5,1,1,1
Brown (6 Suits),3,4,1,1,1
Brown-Ones & Prism (6 Suits),4,1,1,1,1
Gray Pink (5 Suits),3,5,1,1,1
Gray Pink (6 Suits),4,1,1,4,1
Light Pink (5 Suits),4,5,1,1,1
No Variant,2,15,1,11,1
No Variant,3,7,1,3,1
No Variant,4,13,1,1,1
No Variant,5,8,1,1,1
No Variant,6,6,1,2,1
Pink (4 Suits),2,1,1,3,1
Pink (4 Suits),4,1,1,1,1
Pink (5 Suits),2,1,1,1,1
Pink (6 Suits),2,1,1,2,1
Prism (5 Suits),2,1,1,3,1
Prism (5 Suits),4,2,1,1,1
Prism (6 Suits),2,1,1,6,1
Rainbow & Brown (4 Suits),2,2,1,4,1
Rainbow & Brown (5 Suits),3,1,1,1,1
Rainbow & Brown (6 Suits),2,3,1,1,1
Rainbow & Brown (6 Suits),5,3,1,1,1
Rainbow (3 Suits),3,1,1,1,1
Rainbow (4 Suits),4,3,1,3,1
Rainbow (5 Suits),3,6,1,2,1
Rainbow (6 Suits),2,3,1,1,1
Rainbow (6 Suits),4,3,1,4,1
Rainbow (6 Suits),5,6,1,8,1
Rainbow (6 Suits),6,1,1,1,1
Up or Down (5 Suits),4,4,1,2,1
White & Brown (6 Suits),6,6,1,1,1
White (6 Suits),3,3,1,2,1
White (6 Suits),4,3,1,7,1
