variant,attempts,won
Black (5 Suits),50,1
Black & Rainbow (6 Suits),28,1
Dark Rainbow (6 Suits),24,1
Ambiguous (6 Suits),19,1
Dark Rainbow (5 Suits),18,1
Up or Down (6 Suits),14,1
Gray (5 Suits),13,1
Rainbow (3 Suits),12,1
Pink (6 Suits),11,1
Black & Rainbow (5 Suits),11,1
Rainbow & Pink (4 Suits),11,1
Gray (6 Suits),11,1
Black & White (6 Suits),10,1
Black (6 Suits),9,1
Rainbow (4 Suits),8,1
Pink & White (4 Suits),8,1
Black & White (5 Suits),7,1
Brown (5 Suits),6,1
3 Suits,5,1
Rainbow (5 Suits),5,1
White (3 Suits),5,1
Omni (5 Suits),5,1
6 Suits,4,1
Ambiguous & White (5 Suits),4,1
Omni (4 Suits),4,1
No Variant,3,1
White (6 Suits),3,1
Ambiguous & Rainbow (5 Suits),3,1
Up or Down (5 Suits),3,1
Brown (6 Suits),3,1
Pink (5 Suits),3,1
Rainbow & Brown (5 Suits),3,1
Rainbow (6 Suits),2,1
4 Suits,2,1
Ambiguous (4 Suits),2,1
White (4 Suits),2,1
Pink (3 Suits),2,1
Brown (3 Suits),2,1
Black & Pink (6 Suits),2,1
Pink & White (5 Suits),2,1
Pink & White (3 Suits),2,1
Rainbow & Pink (5 Suits),2,1
Rainbow & Brown (6 Suits),2,1
Pink & Dark Rainbow (6 Suits),2,1
Omni (6 Suits),2,1
White (5 Suits),1,1
Very Ambiguous (6 Suits),1,1
Pink (4 Suits),1,1
Brown (4 Suits),1,1
Pink & White (6 Suits),1,1
Rainbow & Pink (6 Suits),1,1
Black & Pink (5 Suits),21,0
Black & Brown (6 Suits),9,0
Rainbow & Pink (3 Suits),7,0
Black & Dark Rainbow (6 Suits),6,0
Rainbow & White (3 Suits),6,0
White & Dark Rainbow (6 Suits),6,0
Omni (3 Suits),3,0
White & Brown (6 Suits),3,0
Dual-Color (6 Suits),2,0
Duck (3 Suits),2,0
Duck (4 Suits),2,0
Cow & Pig (3 Suits),2,0
Dark Brown (6 Suits),2,0
Dark Pink (6 Suits),2,0
Rainbow & Brown (4 Suits),2,0
Dual-Color (3 Suits),1,0
Clue Starved (6 Suits),1,0
Duck (5 Suits),1,0
Dark Brown (5 Suits),1,0
Cow & Pig (4 Suits),1,0
Up or Down & Rainbow (5 Suits),1,0
Up or Down & Rainbow (6 Suits),1,0
