variant,attempts,won
Brown (3 Suits),17,1
No Variant,16,1
Null (5 Suits),14,1
Very Ambiguous (6 Suits),10,1
Dual-Color & Black (6 Suits),10,1
Ambiguous & White (5 Suits),9,1
Black & Prism (6 Suits),9,1
Rainbow (6 Suits),8,1
Deceptive-Ones (5 Suits),8,1
Rainbow & Gray (6 Suits),8,1
White & Dark Prism (5 Suits),8,1
Rainbow & White (6 Suits),7,1
Gray (6 Suits),7,1
Rainbow & White (5 Suits),5,1
Extremely Ambiguous (4 Suits),5,1
Pink & Omni (3 Suits),5,1
Ambiguous (6 Suits),4,1
Ambiguous & Rainbow (5 Suits),4,1
Black & Omni (6 Suits),4,1
Black & Prism (5 Suits),4,1
Rainbow & Muddy Rainbow (5 Suits),4,1
Rainbow & Dark Omni (6 Suits),4,1
Null-Ones (5 Suits),3,1
Alternating Clues (4 Suits),3,1
Ambiguous & Black (5 Suits),3,1
Deceptive-Ones (6 Suits),3,1
Cocoa Rainbow (5 Suits),3,1
Rainbow & Omni (4 Suits),3,1
Omni (4 Suits),2,1
Ambiguous (4 Suits),2,1
Dark Pink (6 Suits),2,1
Muddy Rainbow (5 Suits),2,1
Omni (3 Suits),2,1
Dark Omni (6 Suits),2,1
Rainbow & Pink (6 Suits),2,1
Rainbow & Pink (4 Suits),2,1
Rainbow & Brown (4 Suits),2,1
Gray Pink (6 Suits),2,1
Rainbow & Omni (6 Suits),2,1
Deceptive-Ones & White (5 Suits),2,1
Rainbow & Light Pink (5 Suits),2,1
Rainbow & Gray (5 Suits),2,1
Pink & Gray (6 Suits),2,1
Pink & Omni (6 Suits),2,1
6 Suits,1,1
Brown (5 Suits),1,1
Brown (4 Suits),1,1
Omni (6 Suits),1,1
Null (6 Suits),1,1
Null (4 Suits),1,1
Alternating Clues (5 Suits),1,1
Alternating Clues (6 Suits),1,1
Light Pink (6 Suits),1,1
Black & White (5 Suits),1,1
Dual-Color & Rainbow (6 Suits),1,1
Dual-Color & Rainbow (4 Suits),1,1
Dual-Color & White (4 Suits),1,1
Dual-Color & Pink (6 Suits),1,1
Gray (5 Suits),1,1
Black Reversed (5 Suits),1,1
Up or Down & Brown (6 Suits),1,1
Rainbow & Omni (5 Suits),1,1
Black & Light Pink (6 Suits),1,1
White & Brown (6 Suits),1,1
White & Brown (4 Suits),1,1
White & Dark Rainbow (6 Suits),1,1
White & Dark Brown (5 Suits),1,1
Rainbow-Ones (6 Suits),1,1
White & Prism (5 Suits),1,1
Muddy Rainbow (3 Suits),20,0
White (5 Suits),13,0
Black (5 Suits),12,0
Null (3 Suits),10,0
Ambiguous Mix,10,0
Black & Muddy Rainbow (5 Suits),10,0
Brown & Omni (5 Suits),10,0
Black (6 Suits),7,0
Rainbow & Brown (3 Suits),6,0
Dark Rainbow (6 Suits),4,0
White-Ones & Brown (5 Suits),4,0
Up or Down (5 Suits),3,0
Extremely Ambiguous (6 Suits),2,0
Dual-Color & Pink (4 Suits),2,0
Deceptive-Fives (5 Suits),2,0
Omni-Ones (5 Suits),2,0
Rainbow & Pink (3 Suits),2,0
Dark Rainbow (5 Suits),1,0
Deceptive-Ones & Rainbow (6 Suits),1,0
Rainbow & White (3 Suits),1,0
