variant,attempts,won
Light Pink (6 Suits),3,1
Up or Down & Light Pink (6 Suits),3,1
Omni (6 Suits),2,1
Omni-Fives & White (6 Suits),2,1
6 Suits,1,1
Rainbow (6 Suits),1,1
Pink (6 Suits),1,1
Up or Down & Omni (6 Suits),1,1
Dual-Color (6 Suits),9,0
Pink & Brown (6 Suits),4,0
Rainbow Reversed (6 Suits),4,0
White (6 Suits),2,0
Muddy Rainbow (6 Suits),2,0
Up or Down & Brown (6 Suits),2,0
Deceptive-Fives & Brown (6 Suits),2,0
Up or Down (6 Suits),1,0
White & Brown (6 Suits),1,0
White-Fives & Light Pink (6 Suits),1,0
Dual-Color & Pink (6 Suits),1,0
