player1,player2,attempts,won_variants,attempts/win
ADrone,pianoblook,3,0,NA
Aluap,antitelharsic,4,0,NA
Amy2,wump,5,0,NA
Amy2,Nitrate2,7,0,NA
anser,nukelauncher,0,0,NA
anser,william65537,0,0,NA
asaelr,scharkbite,6,0,NA
avanderwalde,rkass,14,4,3.50
BlueNovember,Pantheia,0,0,NA
BlueNovember,Crux,0,0,NA
ChristopheAF,Lanvin,45,1,45.00
Dr_Kakashi,kimbifille,13,0,NA
Dr_Kakashi,asaelr,2,0,NA
Dr_Kakashi,Floriman,9,1,9.00
Dr_Kakashi,IAMJEFF,0,0,NA
Dr_Kakashi,Kyle,8,0,NA
Dr_Kakashi,Valetta6789,0,0,NA
Dr_Kakashi,scharkbite,17,0,NA
Dr_Kakashi,RaKXeR,0,0,NA
Dr_Kakashi,micerang,2,0,NA
Dr_Kakashi,Fireheart,0,0,NA
Dr_Kakashi,Livia,1,0,NA
Durandal,HelanaAshryvr,0,0,NA
Durandal,Lanvin,0,0,NA
Durandal,squirrel1988,0,0,NA
emilyzhao,squidgetx,3,0,NA
Fireheart,Valetta6789,2,0,NA
Fireheart,Kyle,4,0,NA
Fireheart,micerang,0,0,NA
Fireheart,Zamiel,18,0,NA
Fireheart,asaelr,4,0,NA
Fireheart,Livia,10,0,NA
Fireheart,scharkbite,15,0,NA
Fireheart,IAMJEFF,6,0,NA
Floriman,kimbifille,6,0,NA
Floriman,Valetta6789,6,0,NA
Floriman,asaelr,5,0,NA
Floriman,Kyle,14,0,NA
Floriman,florrat2,0,0,NA
Floriman,RaKXeR,0,0,NA
Floriman,scharkbite,10,0,NA
florrat2,timotree,0,0,NA
florrat2,postmans,0,0,NA
florrat2,sankala,3,0,NA
HelanaAshryvr,Lanvin,39,2,19.50
HelanaAshryvr,squirrel1988,16,2,8.00
IAMJEFF,kimbifille,2,0,NA
IAMJEFF,asaelr,0,0,NA
IAMJEFF,Zamiel,8,0,NA
IAMJEFF,Valetta6789,1,0,NA
IAMJEFF,scharkbite,7,0,NA
indego,melwen,10,0,NA
Jake_Stiles,solarstar92,0,0,NA
kimbifille,pianoblook,19,0,NA
kimbifille,piper,13,0,NA
kimbifille,kooolant,0,0,NA
Kyle,scharkbite,21,0,NA
Kyle,asaelr,12,0,NA
Kyle,Zamiel,10,0,NA
Kyle,micerang,9,0,NA
Kyle,TimeHoodie,10,0,NA
Lanvin,VerySloppyTwo,24,0,NA
Lanvin,Lel0uch,16,0,NA
Lanvin,melwen,36,1,36.00
Lanvin,rz,4,0,NA
Lanvin,indego,33,0,NA
Lanvin,Wittvector,34,2,17.00
Lanvin,MangoPie,37,1,37.00
Lanvin,squirrel1988,22,2,11.00
Lel0uch,MarkusKahlsen,1,0,NA
Lel0uch,melwen,13,0,NA
Lel0uch,indego,16,0,NA
Lel0uch,derekcheah,2,0,NA
Lel0uch,squirrel1988,4,0,NA
Lel0uch,frosty104,2,0,NA
Libster,sjdrodge,1,0,NA
Libster,timotree,0,0,NA
Libster,Valetta6789,1,0,NA
Libster,florrat2,7,1,7.00
Libster,RaKXeR,5,0,NA
Libster,sankala,0,0,NA
Libster,Zamiel,4,0,NA
Libster,NoMercy,2,1,2.00
Libster,Razvogor,3,1,3.00
Libster,frog-kun,0,0,NA
Libster,Razgovor,0,0,NA
Libster,NotRaKXeR,0,0,NA
Livia,invarse,0,0,NA
melwen,ntinta,5,0,NA
melwen,squirrel1988,10,1,10.00
melwen,scharkbite,23,1,23.00
melwen,sephiroth,19,1,19.00
micerang,scharkbite,2,0,NA
NoMercy,florrat2,2,1,2.00
NoMercy,Zamiel,5,0,NA
Pablo-,nitawa,11,1,11.00
pianoblook,piper,10,0,NA
RaKXeR,florrat2,5,0,NA
RaKXeR,Valetta6789,0,0,NA
RaKXeR,Zamiel,2,0,NA
Razvogor,florrat2,1,1,1.00
rz,wump,3,0,NA
Syrah,mugsly,0,0,NA
Syrah,scepheo,0,0,NA
TheDaniMan,indego,2,0,NA
TheDaniMan,doeo,0,0,NA
TheDaniMan,lilyxy,0,0,NA
TimeHoodie,kimbifille,4,0,NA
TimeHoodie,melwen,14,1,14.00
Valetta6789,florrat2,1,0,NA
VerySloppyTwo,sephiroth,8,0,NA
Zamiel,kimbifille,4,0,NA
Zamiel,micerang,7,0,NA
Zamiel,scharkbite,13,0,NA
Zamiel,florrat2,6,0,NA
Zamiel,sankala,3,0,NA
