player1,player2,attempts,won_variants,attempts/win
ADrone,pianoblook,212,53,4.00
Aluap,antitelharsic,104,9,11.56
Amy2,wump,151,28,5.39
Amy2,Nitrate2,128,41,3.12
anser,nukelauncher,132,32,4.12
anser,william65537,54,6,9.00
asaelr,scharkbite,3,1,3.00
avanderwalde,rkass,26,2,13.00
BlueNovember,Pantheia,50,9,5.56
BlueNovember,Crux,57,12,4.75
ChristopheAF,Lanvin,12,2,6.00
Dr_Kakashi,kimbifille,245,48,5.10
Dr_Kakashi,IAMJEFF,191,31,6.16
Dr_Kakashi,asaelr,12,3,4.00
Dr_Kakashi,Floriman,3,1,3.00
Dr_Kakashi,Kyle,12,2,6.00
Dr_Kakashi,Valetta6789,1,1,1.00
Dr_Kakashi,scharkbite,15,0,NA
Dr_Kakashi,RaKXeR,9,1,9.00
Dr_Kakashi,micerang,5,3,1.67
Dr_Kakashi,Fireheart,29,1,29.00
Dr_Kakashi,Livia,57,7,8.14
Durandal,HelanaAshryvr,642,74,8.68
Durandal,Lanvin,173,33,5.24
Durandal,squirrel1988,145,15,9.67
emilyzhao,squidgetx,201,41,4.90
Fireheart,Valetta6789,496,101,4.91
Fireheart,Kyle,36,2,18.00
Fireheart,micerang,1,1,1.00
Fireheart,Zamiel,70,9,7.78
Fireheart,asaelr,46,9,5.11
Fireheart,Livia,67,10,6.70
Fireheart,scharkbite,23,5,4.60
Fireheart,IAMJEFF,305,46,6.63
Floriman,kimbifille,0,0,NA
Floriman,Kyle,22,6,3.67
Floriman,Valetta6789,5,0,NA
Floriman,asaelr,4,2,2.00
Floriman,florrat2,5,1,5.00
Floriman,RaKXeR,0,0,NA
Floriman,scharkbite,0,0,NA
florrat2,timotree,1,1,1.00
florrat2,postmans,4,3,1.33
florrat2,sankala,5,1,5.00
HelanaAshryvr,Lanvin,24,5,4.80
HelanaAshryvr,squirrel1988,60,8,7.50
IAMJEFF,kimbifille,53,10,5.30
IAMJEFF,Zamiel,42,3,14.00
IAMJEFF,asaelr,68,18,3.78
IAMJEFF,Valetta6789,180,34,5.29
IAMJEFF,scharkbite,25,5,5.00
indego,melwen,1,1,1.00
Jake_Stiles,solarstar92,181,30,6.03
jh,lh,115,21,5.48
kimbifille,pianoblook,8,1,8.00
kimbifille,piper,52,12,4.33
kimbifille,kooolant,38,7,5.43
Kyle,asaelr,20,5,4.00
Kyle,scharkbite,20,2,10.00
Kyle,Zamiel,9,1,9.00
Kyle,micerang,14,2,7.00
Kyle,TimeHoodie,6,2,3.00
Lanvin,melwen,12,1,12.00
Lanvin,VerySloppyTwo,500,98,5.10
Lanvin,indego,10,2,5.00
Lanvin,dobi,10,1,10.00
Lanvin,Lel0uch,9,2,4.50
Lanvin,Wittvector,37,4,9.25
Lanvin,jack67889,8,3,2.67
Lanvin,MangoPie,0,0,NA
Lanvin,rz,18,1,18.00
Lanvin,squirrel1988,45,4,11.25
Lel0uch,indego,413,68,6.07
Lel0uch,melwen,183,32,5.72
Lel0uch,MarkusKahlsen,62,11,5.64
Lel0uch,derekcheah,219,26,8.42
Lel0uch,squirrel1988,58,19,3.05
Lel0uch,frosty104,42,7,6.00
Libster,sjdrodge,2,2,1.00
Libster,timotree,1,0,NA
Libster,Valetta6789,3,1,3.00
Libster,florrat2,15,4,3.75
Libster,RaKXeR,44,2,22.00
Libster,sankala,84,1,84.00
Libster,Zamiel,13,4,3.25
Libster,NoMercy,0,0,NA
Libster,Razvogor,0,0,NA
Libster,frog-kun,36,1,36.00
Libster,Razgovor,19,6,3.17
Libster,NotRaKXeR,21,1,21.00
Livia,invarse,177,19,9.32
melwen,ntinta,0,0,NA
melwen,scharkbite,55,3,18.33
melwen,squirrel1988,1,1,1.00
melwen,sephiroth,1,1,1.00
micerang,scharkbite,1,1,1.00
NoMercy,florrat2,0,0,NA
NoMercy,Zamiel,34,1,34.00
Pablo-,nitawa,382,86,4.44
pianoblook,piper,13,7,1.86
RaKXeR,florrat2,1,1,1.00
RaKXeR,Valetta6789,5,1,5.00
RaKXeR,Zamiel,3,1,3.00
Razvogor,florrat2,13,1,13.00
rz,wump,32,11,2.91
Sh,jh,862,143,6.03
Sh,lh,67,14,4.79
Syrah,scepheo,16,5,3.20
Syrah,mugsly,0,0,NA
TheDaniMan,indego,386,44,8.77
TheDaniMan,doeo,3,0,NA
TheDaniMan,lilyxy,103,16,6.44
TimeHoodie,kimbifille,10,1,10.00
TimeHoodie,melwen,3,0,NA
Valetta6789,florrat2,10,0,NA
VerySloppyTwo,sephiroth,83,3,27.67
Zamiel,kimbifille,0,0,NA
Zamiel,micerang,32,3,10.67
Zamiel,scharkbite,0,0,NA
Zamiel,florrat2,53,6,8.83
Zamiel,sankala,2,1,2.00
