variant,attempts,won
Up or Down (5 Suits),5,1
Ambiguous & Pink (5 Suits),4,1
Rainbow (5 Suits),3,1
Up or Down & Brown (5 Suits),3,1
White (5 Suits),2,1
Pink & Brown (5 Suits),2,1
No Variant,2,1
White & Brown (5 Suits),2,1
White Reversed (5 Suits),2,1
Muddy-Rainbow-Fives & Rainbow (5 Suits),2,1
Dual-Color (5 Suits),1,1
Light Pink (5 Suits),1,1
Pink-Ones (5 Suits),1,1
Up or Down & Prism (5 Suits),1,1
Rainbow-Ones (5 Suits),4,0
Pink & White (5 Suits),4,0
Up or Down & Pink (5 Suits),3,0
Cow & Pig (5 Suits),3,0
Rainbow & White (5 Suits),3,0
Pink & Omni (5 Suits),2,0
Rainbow & Pink (5 Suits),2,0
Brown & Light Pink (5 Suits),2,0
Clue Starved & Rainbow (5 Suits),2,0
Brown & Omni (5 Suits),1,0
Muddy Rainbow (5 Suits),1,0
Up or Down & Omni (5 Suits),1,0
