player1,player2,attempts,won_variants,attempts/win
ADrone,pianoblook,2,0,NA
Aluap,antitelharsic,0,0,NA
Amy2,wump,10,2,5.00
Amy2,Nitrate2,134,7,19.14
anser,nukelauncher,17,0,NA
anser,william65537,17,0,NA
asaelr,scharkbite,0,0,NA
avanderwalde,rkass,0,0,NA
BlueNovember,Pantheia,0,0,NA
BlueNovember,Crux,3,0,NA
ChristopheAF,Lanvin,2,0,NA
Dr_Kakashi,kimbifille,1483,45,32.96
Dr_Kakashi,IAMJEFF,75,0,NA
Dr_Kakashi,asaelr,0,0,NA
Dr_Kakashi,Floriman,0,0,NA
Dr_Kakashi,Kyle,0,0,NA
Dr_Kakashi,Valetta6789,4,0,NA
Dr_Kakashi,scharkbite,12,0,NA
Dr_Kakashi,RaKXeR,0,0,NA
Dr_Kakashi,micerang,0,0,NA
Dr_Kakashi,Fireheart,14,1,14.00
Dr_Kakashi,Livia,19,0,NA
Durandal,HelanaAshryvr,109,1,109.00
Durandal,Lanvin,6,0,NA
Durandal,squirrel1988,38,0,NA
emilyzhao,squidgetx,0,0,NA
Fireheart,Valetta6789,237,6,39.50
Fireheart,Kyle,16,0,NA
Fireheart,micerang,2,0,NA
Fireheart,Zamiel,0,0,NA
Fireheart,asaelr,10,0,NA
Fireheart,Livia,10,1,10.00
Fireheart,scharkbite,0,0,NA
Fireheart,IAMJEFF,707,18,39.28
Floriman,kimbifille,0,0,NA
Floriman,Kyle,1,0,NA
Floriman,Valetta6789,0,0,NA
Floriman,asaelr,0,0,NA
Floriman,florrat2,0,0,NA
Floriman,RaKXeR,0,0,NA
Floriman,scharkbite,0,0,NA
florrat2,timotree,0,0,NA
florrat2,postmans,5,1,5.00
florrat2,sankala,0,0,NA
HelanaAshryvr,Lanvin,0,0,NA
HelanaAshryvr,squirrel1988,10,0,NA
IAMJEFF,kimbifille,0,0,NA
IAMJEFF,Zamiel,0,0,NA
IAMJEFF,asaelr,3,1,3.00
IAMJEFF,Valetta6789,30,2,15.00
IAMJEFF,scharkbite,0,0,NA
indego,melwen,1,0,NA
Jake_Stiles,solarstar92,0,0,NA
jh,lh,0,0,NA
kimbifille,pianoblook,0,0,NA
kimbifille,piper,0,0,NA
kimbifille,kooolant,2,0,NA
Kyle,asaelr,0,0,NA
Kyle,scharkbite,0,0,NA
Kyle,Zamiel,0,0,NA
Kyle,micerang,0,0,NA
Kyle,TimeHoodie,0,0,NA
Lanvin,melwen,0,0,NA
Lanvin,VerySloppyTwo,1,0,NA
Lanvin,indego,0,0,NA
Lanvin,dobi,1,0,NA
Lanvin,Lel0uch,0,0,NA
Lanvin,Wittvector,24,1,24.00
Lanvin,jack67889,0,0,NA
Lanvin,MangoPie,0,0,NA
Lanvin,rz,0,0,NA
Lanvin,squirrel1988,0,0,NA
Lel0uch,indego,347,8,43.38
Lel0uch,melwen,211,3,70.33
Lel0uch,MarkusKahlsen,52,4,13.00
Lel0uch,derekcheah,0,0,NA
Lel0uch,squirrel1988,0,0,NA
Lel0uch,frosty104,0,0,NA
Libster,sjdrodge,0,0,NA
Libster,timotree,0,0,NA
Libster,Valetta6789,0,0,NA
Libster,florrat2,0,0,NA
Libster,RaKXeR,0,0,NA
Libster,sankala,0,0,NA
Libster,Zamiel,23,1,23.00
Libster,NoMercy,0,0,NA
Libster,Razvogor,5,0,NA
Libster,frog-kun,0,0,NA
Libster,Razgovor,0,0,NA
Libster,NotRaKXeR,0,0,NA
Livia,invarse,13,0,NA
melwen,ntinta,0,0,NA
melwen,scharkbite,0,0,NA
melwen,squirrel1988,0,0,NA
melwen,sephiroth,0,0,NA
micerang,scharkbite,0,0,NA
NoMercy,florrat2,0,0,NA
NoMercy,Zamiel,44,1,44.00
Pablo-,nitawa,115,3,38.33
pianoblook,piper,13,0,NA
RaKXeR,florrat2,0,0,NA
RaKXeR,Valetta6789,0,0,NA
RaKXeR,Zamiel,0,0,NA
Razvogor,florrat2,0,0,NA
rz,wump,0,0,NA
Sh,jh,70,2,35.00
Sh,lh,1,0,NA
Syrah,scepheo,6,0,NA
Syrah,mugsly,0,0,NA
TheDaniMan,indego,104,1,104.00
TheDaniMan,doeo,0,0,NA
TheDaniMan,lilyxy,0,0,NA
TimeHoodie,kimbifille,1,0,NA
TimeHoodie,melwen,0,0,NA
Valetta6789,florrat2,0,0,NA
VerySloppyTwo,sephiroth,0,0,NA
Zamiel,kimbifille,0,0,NA
Zamiel,micerang,0,0,NA
Zamiel,scharkbite,0,0,NA
Zamiel,florrat2,6,0,NA
Zamiel,sankala,0,0,NA
