variant,attempts,won
White & Dark Rainbow (6 Suits),21,1
Pink & Dark Rainbow (6 Suits),12,1
Pink & Dark Rainbow (5 Suits),8,1
Ambiguous & Dual-Color,8,1
Rainbow & Null (4 Suits),6,1
Clue Starved & White (5 Suits),6,1
White-Ones & White (6 Suits),5,1
Rainbow & Muddy Rainbow (4 Suits),4,1
Dark Pink (5 Suits),3,1
Pink & Omni (6 Suits),3,1
Pink & Omni (5 Suits),3,1
Rainbow & Null (3 Suits),3,1
Dual-Color & Black (6 Suits),3,1
White (6 Suits),3,1
Rainbow & Dark Null (6 Suits),3,1
Brown & Prism (5 Suits),3,1
White & Omni (6 Suits),2,1
Dual-Color & Brown (4 Suits),2,1
Pink-Ones (5 Suits),2,1
Pink-Fives & Brown (4 Suits),2,1
Muddy-Rainbow-Fives (6 Suits),2,1
No Variant,1,1
Pink & Brown (3 Suits),1,1
Null (4 Suits),1,1
Black & Omni (6 Suits),1,1
Black & Omni (5 Suits),1,1
Rainbow & Null (6 Suits),1,1
Light Pink (6 Suits),1,1
Light Pink (3 Suits),1,1
Rainbow & Muddy Rainbow (6 Suits),1,1
Rainbow & Muddy Rainbow (5 Suits),1,1
Pink-Ones (4 Suits),1,1
Cocoa Rainbow (5 Suits),1,1
Alternating Clues & Rainbow (4 Suits),1,1
White-Ones (6 Suits),1,1
Pink & Null (3 Suits),18,0
White & Dark Rainbow (5 Suits),10,0
Pink & Brown (4 Suits),9,0
Pink & Null (6 Suits),9,0
Clue Starved & Prism (5 Suits),8,0
Rainbow Reversed (6 Suits),7,0
Duck (4 Suits),7,0
Omni & Dark Rainbow (6 Suits),6,0
Dark Prism (6 Suits),6,0
Null (3 Suits),5,0
Rainbow & Omni (6 Suits),5,0
White & Dark Omni (6 Suits),5,0
Dark Omni (5 Suits),5,0
Cocoa Rainbow (6 Suits),5,0
Pink & Brown (6 Suits),4,0
Brown & Dark Rainbow (6 Suits),4,0
Gray Pink (5 Suits),4,0
Omni (6 Suits),3,0
Gray (5 Suits),3,0
Deceptive-Ones & Cocoa Rainbow (5 Suits),3,0
Light Pink & Prism (6 Suits),3,0
Rainbow & Dark Brown (5 Suits),2,0
Black & Dark Rainbow (6 Suits),2,0
Rainbow & Omni (5 Suits),2,0
White & Omni (4 Suits),2,0
White & Dark Omni (5 Suits),2,0
Rainbow & Dark Brown (6 Suits),2,0
Dual-Color & White (6 Suits),2,0
Ambiguous & Pink (5 Suits),2,0
Up or Down & Rainbow (6 Suits),2,0
Throw It in a Hole & Prism (6 Suits),2,0
Up or Down & Prism (6 Suits),2,0
White & Brown (4 Suits),1,0
Pink & White (5 Suits),1,0
Color Mute (4 Suits),1,0
Black & Null (5 Suits),1,0
Number Blind (6 Suits),1,0
Light Pink (5 Suits),1,0
Rainbow (4 Suits),1,0
Light Pink (4 Suits),1,0
Rainbow (5 Suits),1,0
Black (5 Suits),1,0
Brown & Null (6 Suits),1,0
Black & Muddy Rainbow (6 Suits),1,0
Black & Dark Null (6 Suits),1,0
Dark Omni (6 Suits),1,0
Black Reversed (6 Suits),1,0
Black & Muddy Rainbow (5 Suits),1,0
Cow & Pig (6 Suits),1,0
