variant,attempts,won
Omni & Prism (5 Suits),5,1
White-Fives (5 Suits),2,1
Rainbow (5 Suits),1,1
Light Pink (5 Suits),1,1
Brown-Ones & Light Pink (5 Suits),1,1
Null-Ones (5 Suits),1,1
Reversed (5 Suits),1,1
White-Ones & Omni (5 Suits),1,1
Up or Down & Pink (5 Suits),1,1
No Variant,4,0
White Reversed (5 Suits),4,0
Brown & Prism (5 Suits),3,0
Rainbow & Muddy Rainbow (5 Suits),2,0
Omni-Fives & Omni (5 Suits),2,0
Rainbow & Omni (5 Suits),2,0
Pink-Ones (5 Suits),2,0
White & Omni (5 Suits),2,0
Brown (5 Suits),1,0
Light-Pink-Ones (5 Suits),1,0
Brown & Muddy Rainbow (5 Suits),1,0
