variant,attempts,won
Rainbow (5 Suits),5,1
Color Mute (5 Suits),5,1
Brown (5 Suits),3,1
Rainbow-Ones (5 Suits),2,1
Dual-Color (5 Suits),2,1
No Variant,1,1
Pink & White (5 Suits),1,1
Up or Down & Rainbow (5 Suits),1,1
Black & Rainbow (5 Suits),12,0
White & Omni (5 Suits),6,0
Clue Starved (5 Suits),4,0
Pink-Fives (5 Suits),4,0
Black (5 Suits),3,0
Omni (5 Suits),3,0
Gray (5 Suits),3,0
Up or Down & Brown (5 Suits),3,0
Muddy-Rainbow-Ones & Rainbow (5 Suits),3,0
White & Dark Omni (5 Suits),2,0
Rainbow & Pink (5 Suits),1,0
Up or Down & Omni (5 Suits),1,0
