variant,attempts,won
Dark Prism (6 Suits),35,1
Light Pink & Dark Null (6 Suits),29,1
Omni & Dark Prism (6 Suits),23,1
Dark Null (6 Suits),22,1
Null & Cocoa Rainbow (6 Suits),17,1
Rainbow & Gray (6 Suits),13,1
White & Dark Null (6 Suits),10,1
Cocoa Rainbow (6 Suits),9,1
Gray Pink (6 Suits),9,1
Pink & Dark Prism (6 Suits),9,1
Muddy Rainbow & Dark Rainbow (6 Suits),8,1
Null & Gray Pink (6 Suits),8,1
Black & Null (6 Suits),7,1
Muddy Rainbow & Dark Null (6 Suits),6,1
White & Dark Omni (6 Suits),6,1
Black & Rainbow (6 Suits),5,1
Black & White (6 Suits),4,1
White & Dark Pink (6 Suits),4,1
Pink & Cocoa Rainbow (6 Suits),4,1
Omni & Dark Null (6 Suits),3,1
Black & Prism (6 Suits),3,1
Rainbow & Dark Null (6 Suits),1,1
Null & Dark Rainbow (6 Suits),1,1
Pink & Dark Null (6 Suits),58,0
Null & Dark Omni (6 Suits),19,0
Special Mix (6 Suits),17,0
Null & Gray (6 Suits),14,0
Null & Dark Prism (6 Suits),10,0
Pink & Dark Omni (6 Suits),8,0
White & Dark Brown (6 Suits),3,0
