variant,attempts,won
Black & White (6 Suits),9,1
Dark Omni (6 Suits),5,1
Black & Brown (6 Suits),5,1
Dark Brown (6 Suits),4,1
Gray Pink (6 Suits),4,1
Dark Prism (6 Suits),4,1
Black & Light Pink (6 Suits),3,1
Black & Pink (6 Suits),3,1
Ambiguous Mix,2,1
White & Dark Brown (6 Suits),2,1
Dual-Color Mix,1,1
Black & Rainbow (6 Suits),1,1
Special Mix (6 Suits),1,1
Light-Pink-Fives & Dark Brown (6 Suits),1,1
Black & Omni (6 Suits),1,1
Black & Null (6 Suits),1,1
White & Cocoa Rainbow (6 Suits),1,1
Rainbow & Cocoa Rainbow (6 Suits),9,0
Rainbow & Dark Null (6 Suits),6,0
Rainbow & Gray (6 Suits),4,0
Dual-Color & Black (6 Suits),3,0
Pink & Cocoa Rainbow (6 Suits),3,0
Dark Pink (6 Suits),2,0
Brown & Gray (6 Suits),2,0
White & Dark Pink (6 Suits),2,0
Cocoa Rainbow (6 Suits),1,0
Pink & Gray (6 Suits),1,0
