variant,attempts,won
Black & Rainbow (5 Suits),12,1
Null (5 Suits),3,1
Black (5 Suits),2,1
Black & White (5 Suits),1,1
No Variant,1,1
Black & Brown (5 Suits),1,1
Rainbow & Brown (5 Suits),1,1
Pink-Fives & White (5 Suits),1,1
Dark Brown (5 Suits),1,1
Rainbow & Pink (5 Suits),1,1
Rainbow-Ones (5 Suits),7,0
Rainbow & Dark Pink (5 Suits),4,0
Dark Rainbow (5 Suits),3,0
Muddy Rainbow & Dark Brown (5 Suits),3,0
Black & Pink (5 Suits),2,0
Cocoa Rainbow (5 Suits),2,0
Pink (5 Suits),1,0
Dark Omni (5 Suits),1,0
Up or Down & Pink (5 Suits),1,0
