player1,player2,attempts,won_variants,attempts/win
ADrone,pianoblook,12,3,4.00
Aluap,antitelharsic,18,5,3.60
Amy2,wump,12,3,4.00
Amy2,Nitrate2,28,4,7.00
anser,nukelauncher,4,1,4.00
anser,william65537,1,1,1.00
asaelr,scharkbite,34,3,11.33
avanderwalde,rkass,56,18,3.11
BlueNovember,Pantheia,5,0,NA
BlueNovember,Crux,3,0,NA
ChristopheAF,Lanvin,88,9,9.78
Dr_Kakashi,kimbifille,57,10,5.70
Dr_Kakashi,asaelr,36,7,5.14
Dr_Kakashi,Floriman,69,12,5.75
Dr_Kakashi,IAMJEFF,22,2,11.00
Dr_Kakashi,Kyle,59,7,8.43
Dr_Kakashi,Valetta6789,31,2,15.50
Dr_Kakashi,scharkbite,60,8,7.50
Dr_Kakashi,RaKXeR,15,2,7.50
Dr_Kakashi,micerang,32,3,10.67
Dr_Kakashi,Fireheart,23,4,5.75
Dr_Kakashi,Livia,21,4,5.25
Durandal,HelanaAshryvr,2,0,NA
Durandal,Lanvin,4,0,NA
Durandal,squirrel1988,2,0,NA
emilyzhao,squidgetx,15,1,15.00
Fireheart,Valetta6789,32,7,4.57
Fireheart,Kyle,30,7,4.29
Fireheart,micerang,31,4,7.75
Fireheart,Zamiel,43,2,21.50
Fireheart,asaelr,23,4,5.75
Fireheart,Livia,31,3,10.33
Fireheart,scharkbite,54,7,7.71
Fireheart,IAMJEFF,36,4,9.00
Floriman,kimbifille,37,7,5.29
Floriman,Valetta6789,47,6,7.83
Floriman,asaelr,37,5,7.40
Floriman,Kyle,72,10,7.20
Floriman,florrat2,26,1,26.00
Floriman,RaKXeR,34,2,17.00
Floriman,scharkbite,44,3,14.67
florrat2,timotree,0,0,NA
florrat2,postmans,0,0,NA
florrat2,sankala,19,2,9.50
HelanaAshryvr,Lanvin,123,18,6.83
HelanaAshryvr,squirrel1988,53,6,8.83
IAMJEFF,kimbifille,10,1,10.00
IAMJEFF,asaelr,15,1,15.00
IAMJEFF,Zamiel,33,4,8.25
IAMJEFF,Valetta6789,18,1,18.00
IAMJEFF,scharkbite,39,4,9.75
indego,melwen,61,6,10.17
Jake_Stiles,solarstar92,0,0,NA
kimbifille,pianoblook,49,10,4.90
kimbifille,piper,31,8,3.88
kimbifille,kooolant,25,3,8.33
Kyle,scharkbite,79,13,6.08
Kyle,asaelr,61,5,12.20
Kyle,Zamiel,53,5,10.60
Kyle,micerang,67,4,16.75
Kyle,TimeHoodie,67,7,9.57
Lanvin,VerySloppyTwo,70,6,11.67
Lanvin,Lel0uch,90,13,6.92
Lanvin,melwen,107,13,8.23
Lanvin,rz,31,4,7.75
Lanvin,indego,97,10,9.70
Lanvin,Wittvector,108,13,8.31
Lanvin,MangoPie,117,17,6.88
Lanvin,squirrel1988,71,9,7.89
Lel0uch,MarkusKahlsen,18,3,6.00
Lel0uch,melwen,109,19,5.74
Lel0uch,indego,75,11,6.82
Lel0uch,derekcheah,9,3,3.00
Lel0uch,squirrel1988,55,7,7.86
Lel0uch,frosty104,55,14,3.93
Libster,sjdrodge,24,4,6.00
Libster,timotree,0,0,NA
Libster,Valetta6789,12,0,NA
Libster,florrat2,48,6,8.00
Libster,RaKXeR,33,2,16.50
Libster,sankala,18,3,6.00
Libster,Zamiel,46,8,5.75
Libster,NoMercy,23,6,3.83
Libster,Razvogor,23,4,5.75
Libster,frog-kun,0,0,NA
Libster,Razgovor,15,2,7.50
Libster,NotRaKXeR,1,0,NA
Livia,invarse,3,0,NA
melwen,ntinta,45,2,22.50
melwen,squirrel1988,54,9,6.00
melwen,scharkbite,74,10,7.40
melwen,sephiroth,61,7,8.71
micerang,scharkbite,37,4,9.25
NoMercy,florrat2,13,3,4.33
NoMercy,Zamiel,28,4,7.00
Pablo-,nitawa,29,7,4.14
pianoblook,piper,36,11,3.27
RaKXeR,florrat2,54,2,27.00
RaKXeR,Valetta6789,34,1,34.00
RaKXeR,Zamiel,14,1,14.00
Razvogor,florrat2,5,2,2.50
rz,wump,29,4,7.25
Syrah,mugsly,0,0,NA
Syrah,scepheo,0,0,NA
TheDaniMan,indego,5,0,NA
TheDaniMan,doeo,4,0,NA
TheDaniMan,lilyxy,10,0,NA
TimeHoodie,kimbifille,38,4,9.50
TimeHoodie,melwen,80,9,8.89
Valetta6789,florrat2,25,1,25.00
VerySloppyTwo,sephiroth,28,2,14.00
Zamiel,kimbifille,13,1,13.00
Zamiel,micerang,51,5,10.20
Zamiel,scharkbite,60,5,12.00
Zamiel,florrat2,39,6,6.50
Zamiel,sankala,21,3,7.00
