player1,player2,attempts,won_variants,attempts/win
ADrone,pianoblook,12,3,4.00
Aluap,antitelharsic,3,2,1.50
Amy2,wump,2,1,2.00
Amy2,Nitrate2,6,0,NA
anser,nukelauncher,6,1,6.00
anser,william65537,5,0,NA
asaelr,scharkbite,12,4,3.00
avanderwalde,rkass,7,3,2.33
BlueNovember,Pantheia,3,3,1.00
BlueNovember,Crux,8,1,8.00
ChristopheAF,Lanvin,24,6,4.00
Dr_Kakashi,kimbifille,15,6,2.50
Dr_Kakashi,asaelr,22,10,2.20
Dr_Kakashi,Floriman,33,9,3.67
Dr_Kakashi,IAMJEFF,36,6,6.00
Dr_Kakashi,Kyle,22,4,5.50
Dr_Kakashi,Valetta6789,36,5,7.20
Dr_Kakashi,scharkbite,11,6,1.83
Dr_Kakashi,RaKXeR,6,3,2.00
Dr_Kakashi,micerang,14,3,4.67
Dr_Kakashi,Fireheart,18,4,4.50
Dr_Kakashi,Livia,25,6,4.17
Durandal,HelanaAshryvr,2,0,NA
Durandal,Lanvin,8,4,2.00
Durandal,squirrel1988,3,1,3.00
emilyzhao,squidgetx,5,1,5.00
Fireheart,Valetta6789,9,5,1.80
Fireheart,Kyle,10,5,2.00
Fireheart,micerang,8,3,2.67
Fireheart,Zamiel,9,1,9.00
Fireheart,asaelr,24,9,2.67
Fireheart,Livia,20,4,5.00
Fireheart,scharkbite,15,6,2.50
Fireheart,IAMJEFF,37,13,2.85
Floriman,kimbifille,14,7,2.00
Floriman,Valetta6789,20,3,6.67
Floriman,asaelr,5,3,1.67
Floriman,Kyle,16,4,4.00
Floriman,florrat2,0,0,NA
Floriman,RaKXeR,3,0,NA
Floriman,scharkbite,8,4,2.00
florrat2,timotree,0,0,NA
florrat2,postmans,1,1,1.00
florrat2,sankala,1,0,NA
HelanaAshryvr,Lanvin,20,3,6.67
HelanaAshryvr,squirrel1988,10,2,5.00
IAMJEFF,kimbifille,7,3,2.33
IAMJEFF,asaelr,29,10,2.90
IAMJEFF,Zamiel,13,2,6.50
IAMJEFF,Valetta6789,31,6,5.17
IAMJEFF,scharkbite,20,9,2.22
indego,melwen,11,2,5.50
Jake_Stiles,solarstar92,0,0,NA
kimbifille,pianoblook,17,7,2.43
kimbifille,piper,9,6,1.50
kimbifille,kooolant,7,4,1.75
Kyle,scharkbite,19,7,2.71
Kyle,asaelr,14,4,3.50
Kyle,Zamiel,25,7,3.57
Kyle,micerang,17,6,2.83
Kyle,TimeHoodie,16,3,5.33
Lanvin,VerySloppyTwo,32,10,3.20
Lanvin,Lel0uch,12,6,2.00
Lanvin,melwen,31,12,2.58
Lanvin,rz,37,10,3.70
Lanvin,indego,26,6,4.33
Lanvin,Wittvector,17,5,3.40
Lanvin,MangoPie,25,8,3.12
Lanvin,squirrel1988,15,2,7.50
Lel0uch,MarkusKahlsen,4,3,1.33
Lel0uch,melwen,22,10,2.20
Lel0uch,indego,6,2,3.00
Lel0uch,derekcheah,4,2,2.00
Lel0uch,squirrel1988,10,2,5.00
Lel0uch,frosty104,18,9,2.00
Libster,sjdrodge,15,4,3.75
Libster,timotree,0,0,NA
Libster,Valetta6789,4,2,2.00
Libster,florrat2,6,4,1.50
Libster,RaKXeR,3,1,3.00
Libster,sankala,4,1,4.00
Libster,Zamiel,19,6,3.17
Libster,NoMercy,4,2,2.00
Libster,Razvogor,8,3,2.67
Libster,frog-kun,0,0,NA
Libster,Razgovor,10,3,3.33
Libster,NotRaKXeR,0,0,NA
Livia,invarse,7,1,7.00
melwen,ntinta,24,12,2.00
melwen,squirrel1988,11,2,5.50
melwen,scharkbite,26,6,4.33
melwen,sephiroth,18,5,3.60
micerang,scharkbite,18,4,4.50
NoMercy,florrat2,0,0,NA
NoMercy,Zamiel,8,4,2.00
Pablo-,nitawa,2,1,2.00
pianoblook,piper,28,12,2.33
RaKXeR,florrat2,1,0,NA
RaKXeR,Valetta6789,2,0,NA
RaKXeR,Zamiel,4,0,NA
Razvogor,florrat2,1,1,1.00
rz,wump,12,6,2.00
Syrah,mugsly,4,3,1.33
Syrah,scepheo,4,3,1.33
TheDaniMan,indego,1,0,NA
TheDaniMan,doeo,20,7,2.86
TheDaniMan,lilyxy,20,8,2.50
TimeHoodie,kimbifille,15,6,2.50
TimeHoodie,melwen,16,5,3.20
Valetta6789,florrat2,0,0,NA
VerySloppyTwo,sephiroth,2,1,2.00
Zamiel,kimbifille,3,1,3.00
Zamiel,micerang,29,10,2.90
Zamiel,scharkbite,36,11,3.27
Zamiel,florrat2,3,2,1.50
Zamiel,sankala,3,1,3.00
