variant,attempts,won
Dark Rainbow (6 Suits),14,1
6 Suits,7,1
Black (6 Suits),5,1
White Reversed (6 Suits),5,1
Rainbow (6 Suits),4,1
Dual-Color (6 Suits),4,1
Reversed (6 Suits),4,1
Dark Rainbow (5 Suits),2,1
No Variant,1,1
Dual-Color & Rainbow (6 Suits),1,1
Color Blind (6 Suits),1,1
Black & Dark Rainbow (6 Suits),5,0
Up or Down & White (5 Suits),3,0
Very Ambiguous (6 Suits),2,0
White (6 Suits),2,0
Up or Down & Rainbow (5 Suits),2,0
Color Blind (5 Suits),2,0
Rainbow (5 Suits),2,0
Rainbow & Dark Pink (6 Suits),2,0
Up or Down (5 Suits),1,0
Up or Down (6 Suits),1,0
Pink-Fives (6 Suits),1,0
Rainbow (3 Suits),1,0
3 Suits,1,0
Up or Down & Brown (5 Suits),1,0
Muddy Rainbow (4 Suits),1,0
Up or Down & Rainbow (6 Suits),1,0
Dark Null (6 Suits),1,0
Null (5 Suits),1,0
Black & Pink (6 Suits),1,0
Number Mute (6 Suits),1,0
