variant,attempts,won
Black (6 Suits),162,1
6 Suits,25,1
Up or Down & White (6 Suits),5,1
Pink (5 Suits),2,1
Prism (6 Suits),2,1
Rainbow (6 Suits),1,1
No Variant,1,1
Very Ambiguous (6 Suits),1,1
4 Suits,1,1
Dark Rainbow (5 Suits),1,1
Up or Down & Rainbow (5 Suits),1,1
Pink-Fives & Rainbow (4 Suits),1,1
Color Mute (6 Suits),1,1
Black & Dark Rainbow (6 Suits),7,0
Duck (5 Suits),4,0
Brown (6 Suits),3,0
Up or Down (6 Suits),2,0
Up or Down & Rainbow (6 Suits),2,0
Pink-Fives & Rainbow (5 Suits),2,0
Up or Down & White (5 Suits),2,0
Special Mix (5 Suits),1,0
